========================================
ARRAY ORIGINAL TESTADO
========================================
Tipo: Muitos Duplicados
Tamanho: 100 elementos
Data/Hora: 28/09/2025 12:19:46
----------------------------------------
Elementos:
[0] = 6
[1] = 0
[2] = 1
[3] = 3
[4] = 0
[5] = 5
[6] = 0
[7] = 5
[8] = 0
[9] = 0
[10] = 3
[11] = 3
[12] = 6
[13] = 7
[14] = 3
[15] = 6
[16] = 8
[17] = 1
[18] = 8
[19] = 7
[20] = 4
[21] = 4
[22] = 7
[23] = 2
[24] = 3
[25] = 5
[26] = 3
[27] = 8
[28] = 4
[29] = 9
[30] = 6
[31] = 8
[32] = 0
[33] = 7
[34] = 9
[35] = 9
[36] = 7
[37] = 4
[38] = 6
[39] = 6
[40] = 2
[41] = 6
[42] = 6
[43] = 2
[44] = 9
[45] = 5
[46] = 2
[47] = 2
[48] = 4
[49] = 7
[50] = 7
[51] = 7
[52] = 7
[53] = 3
[54] = 8
[55] = 8
[56] = 7
[57] = 7
[58] = 9
[59] = 2
[60] = 2
[61] = 3
[62] = 3
[63] = 1
[64] = 7
[65] = 0
[66] = 6
[67] = 8
[68] = 5
[69] = 6
[70] = 1
[71] = 4
[72] = 4
[73] = 2
[74] = 7
[75] = 2
[76] = 9
[77] = 6
[78] = 7
[79] = 6
[80] = 3
[81] = 3
[82] = 4
[83] = 5
[84] = 5
[85] = 8
[86] = 7
[87] = 4
[88] = 4
[89] = 0
[90] = 7
[91] = 2
[92] = 7
[93] = 3
[94] = 7
[95] = 8
[96] = 7
[97] = 4
[98] = 2
[99] = 9

Total de elementos: 100
